Handle,Title,Description,Status,Thumbnail,Image 1,Image 2,Image 3,Profile Name,Option 1 Name,Option 1 Value,Variant SKU,Variant Inventory Quantity,Variant Manage Inventory,Variant Allow Backorder,Variant Price [INR]
"100-cotton-printed-t-shirt-7","100% cotton printed t-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37054468-01-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37054468-01-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37054468-01-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37054468-01-004?wid=2048&hei=2867&fit=crop","Default","Size","XXL","100-COTTON-PRINTED-T-SHIRT-7-XXL",100,TRUE,FALSE,3299
"striped-cotton-blend-jersey-t-shirt-8","Striped cotton blend jersey T-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37044423-03-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044423-03-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044423-03-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044423-03-004?wid=2048&hei=2867&fit=crop","Default","Size","S","STRIPED-COTTON-BLEND-JERSEY-T-SHIRT-8-S",100,TRUE,FALSE,3699
"striped-cotton-blend-jersey-t-shirt-8","Striped cotton blend jersey T-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37044423-03-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044423-03-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044423-03-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044423-03-004?wid=2048&hei=2867&fit=crop","Default","Size","M","STRIPED-COTTON-BLEND-JERSEY-T-SHIRT-8-M",100,TRUE,FALSE,3699
"striped-cotton-blend-jersey-t-shirt-8","Striped cotton blend jersey T-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37044423-03-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044423-03-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044423-03-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044423-03-004?wid=2048&hei=2867&fit=crop","Default","Size","L","STRIPED-COTTON-BLEND-JERSEY-T-SHIRT-8-L",100,TRUE,FALSE,3699
"striped-cotton-blend-jersey-t-shirt-8","Striped cotton blend jersey T-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37044423-03-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044423-03-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044423-03-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044423-03-004?wid=2048&hei=2867&fit=crop","Default","Size","XL","STRIPED-COTTON-BLEND-JERSEY-T-SHIRT-8-XL",100,TRUE,FALSE,3699
"striped-cotton-blend-jersey-t-shirt-8","Striped cotton blend jersey T-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37044423-03-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044423-03-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044423-03-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044423-03-004?wid=2048&hei=2867&fit=crop","Default","Size","XXL","STRIPED-COTTON-BLEND-JERSEY-T-SHIRT-8-XXL",100,TRUE,FALSE,3699
"ribbed-cotton-linen-blend-t-shirt-9","Ribbed cotton-linen blend T-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37051437-56-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-004?wid=2048&hei=2867&fit=crop","Default","Size","S","RIBBED-COTTON-LINEN-BLEND-T-SHIRT-9-S",100,TRUE,FALSE,3899
"ribbed-cotton-linen-blend-t-shirt-9","Ribbed cotton-linen blend T-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37051437-56-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-004?wid=2048&hei=2867&fit=crop","Default","Size","M","RIBBED-COTTON-LINEN-BLEND-T-SHIRT-9-M",100,TRUE,FALSE,3899
"ribbed-cotton-linen-blend-t-shirt-9","Ribbed cotton-linen blend T-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37051437-56-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-004?wid=2048&hei=2867&fit=crop","Default","Size","L","RIBBED-COTTON-LINEN-BLEND-T-SHIRT-9-L",100,TRUE,FALSE,3899
"ribbed-cotton-linen-blend-t-shirt-9","Ribbed cotton-linen blend T-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37051437-56-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-004?wid=2048&hei=2867&fit=crop","Default","Size","XL","RIBBED-COTTON-LINEN-BLEND-T-SHIRT-9-XL",100,TRUE,FALSE,3899
